rus,en,matched
Георгий,Georgii,გეორგი
Иван,Ivan,ივან
Николай,Nikolai,ნიკოლაი
Михаил,Mihail,მიხაილ
Александр,Aleksandr,ალეკსანდრ
Григорий,Grigorii,გრიგორი
Василий,Vasilii,ვასილი
Владимир,Vladimir,ვლადიმირ
Давид,David,დავიდ
Шалва,SHalva,შალვა
Алексей,Aleksei,ალეკსეი
Сергей,Sergei,სერგეი
Илья,Ilya,ილია
Иосиф,Iosif,იოსიფ
Петр,Petr,პეტრე
Константин,Konstantin,კონსტანტინ
Семен,Semen,სიმონ
Павел,Pavel,პაველ
Шота,SHota,შოთა
Дмитрий,Dmitrii,დმიტრი
Акакий,Akakii,აკაკი
Варлам,Varlam,ვარლამ
Андрей,Andrei,ანდრეი
Виктор,Viktor,ვიკტორ
Федор,Fedor,ფედორ
Захар,Zahar,ზახარ
Шалико,SHaliko,შალიკო
Арчил,Archil,არჩილ
Леван,Levan,ლევან
Вахтанг,Vahtang,ვახტანგ
Степан,Stepan,სტეფან
Яков,YAkov,იაკოვ
Валико,Valiko,ვალიკო
Шакро,SHakro,შაკრო
Антон,Anton,ანტონ
Арсен,Arsen,არსენ
Ясон,YAson,იასონ
Платон,Platon,პლატონ
Сандро,Sandro,სანდრო
Борис,Boris,ბორის
Баграт,Bagrat,ბაგრატ
Серго,Sergo,სერგო
Лаврентий,Lavrentii,ლავრენტი
Артем,Artem,არტემ
Самсон,Samson,სამსონ
,,ლია
Вано,Vano,ვანო
Владимер,Vladimer,ვლადიმერ
Абрам,Abram,აბრამ
Гриша,Grisha,გრიშა
Роман,Roman,რომან
Евгений,Evgenii,ევგენი
Саркис,Sarkis,სარკის
Рубен,Ruben,რუბენ
Георги,Georgi,გეორგი
Акаки,Akaki,აკაკი
Галактион,Galaktion,გალაქტიონ
Валериан,Valerian,ვალერიან
Ной,Noi,ნოე
Соломон,Solomon,სოლომონ
Миша,Misha,მიშა
Симон,Simon,სიმონ
Ладо,Lado,ლადო
Пармен,Parmen,პარმენ
Мамед,Mamed,მამედ
Григор,Grigor,გრიგორ
Ираклий,Iraklii,ირაკლი
Давыд,David,დავიდ
Исак,Isak,ისაკ
Нестор,Nestor,ნესტორ
Леон,Leon,ლეონ
Сурен,Suren,სურენ
Захарий,Zaharii,ზაქარია
Али,Ali,ალი
Леонтий,Leontii,ლეონტი
Леонид,Leonid,ლეონიდ
Карапет,Karapet,კარაპეტ
Герасим,Gerasim,გერასიმ
Хачик,Hachik,ხაჩიკ
Шальва,SHalva,შალვა
Анатолий,Anatolii,ანატოლი
Васо,Vaso,ვასო
Николоз,Nikoloz,ნიკოლოზ
Илико,Iliko,ილიკო
Иона,Iona,იონა
Аршак,Arshak,არშაკ
Сико,Siko,სიკო
Ражден,Razhden,რაჟდენ
Калистрат,Kalistrat,კალისტრატე
Акоп,Akop,აკოპ
Арам,Aram,არამ
Капитон,Kapiton,კაპიტონ
Харитон,Hariton,ხარიტონ
Чичико,CHichiko,ჭიჭიკო
Нико,Niko,ნიკო
Вартан,Vartan,ვართან
Тимофей,Timofei,ტიმოფეი
Ахмед,Ahmed,ახმედ
Гиви,Givi,გივი
Терентий,Terentii,ტერენტი
Оганес,Oganes,ოგანეს
Рожден,Rozhden,რაჟდენ
Исмаил,Ismail,ისმაილ
Димитрий,Dimitrii,დიმიტრი
Егор,Egor,ეგორ
Сардион,Sardion,სარდიონ
Ашот,Ashot,აშოტ
Зураб,Zurab,ზურაბ
Валерьян,Valeryan,ვალერიან
Гиорги,Giorgi,გიორგი
Датико,Datiko,დათიკო
Максим,Maksim,მაკსიმ
Тарас,Taras,ტარას
Амиран,Amiran,ამირან
Спиридон,Spiridon,სპირიდონ
Андроник,Andronik,ანდრონიკ
Виссарион,Vissarion,ვისარიონ
Гогия,Gogiya,გოგიტა
Иракли,Irakli,ირაკლი
Гиго,Gigo,გიგო
Герман,German,გერმან
Тедо,Tedo,თედო
Левон,Levon,ლევონ
Варден,Varden,ვარდენ
Коля,Kolya,კოლია
Лука,Luka,ლუკა
Кирил,Kiril,კირილ
Васил,Vasil,ვასილ
Ефим,Efim,ეფიმ
Жора,ZHora,ჟორა
Сулико,Suliko,გულიკო
Автандил,Avtandil,ავთანდილ
Илларион,Illarion,ილარიონ
Исидор,Isidor,ისიდორ
Арташ,Artash,არტაშ
Моисей,Moisei,მოისეი
Арутюн,Arutyun,არუტიუნ
Макар,Makar,მაკარ
Гиоргий,Giorgii,გიორგი
Трифон,Trifon,ტრიფონ
Ило,Ilo,ილო
Поликарп,Polikarp,პოლიკარპ
Гурген,Gurgen,გურგენ
Коте,Kote,კოტე
Филипп,Filipp,ფილიპე
Серапион,Serapion,სერაპიონ
Матвей,Matvei,მატვეი
Кирилл,Kirill,კირილე
Сосо,Soso,სოსო
Северьян,Severyan,სევერიან
Петрос,Petros,პეტროს
Андро,Andro,ანდრო
Апполон,Appolon,აპოლონ
Реваз,Revaz,რევაზ
Алеша,Alesha,ალესია
Мелитон,Meliton,მელიტონ
Исаак,Isaak,ისააკ
Гоги,Gogi,გოგი
Ермолай,Ermolai,ერმონა
Никифор,Nikifor,ნიკიფორ
Гига,Giga,გიგა
Гаврил,Gavril,გავრილ
Ипполит,Ippolit,იპოლიტ
Карл,Karl,კარლ
Сулейман,Suleiman,სულეიმან
Ушанги,Ushangi,უშანგი
Яша,YAsha,ლაშა
Коста,Kosta,კოსტა
Гавриил,Gavriil,გავრილ
Прокофий,Prokofii,პროკოფი
Валерий,Valerii,ვალერი
Мамия,Mamiya,მამია
Григол,Grigol,გრიგოლ
Шио,SHio,შიო
Юрий,YUrii,იური
Резо,Rezo,რეზო
Северян,Severyan,სევერიან
Доментий,Domentii,დომენტი
Карло,Karlo,კარლო
Отари,Otari,ოთარი
Отар,Otar,ოთარ
Иполит,Ipolit,იპოლიტ
Арменак,Armenak,არმენაკ
Ироди,Irodi,იროდი
Осман,Osman,ოსმან
Арчиль,Archil,არჩილ
Володя,Volodya,ვოლოდია
Ефрем,Efrem,ეფრემ
Амбросий,Ambrosii,ამბროსი
Лев,Lev,ლევ
Ное,Noe,ნოე
Тома,Toma,თომა
Георг,Georg,გეორგ
Архип,Arhip,არიფ
Нестер,Nester,ნესტორ
Александре,Aleksandre,ალექსანდრე
Хачатур,Hachatur,ხაჩატურ
Аполон,Apolon,აპოლონ
Афанасий,Afanasii,აფანასი
Мисак,Misak,მისაკ
Вахтан,Vahtan,ვართან
Мирон,Miron,მირონ
Иларион,Ilarion,ილარიონ
Климентий,Klimentii,კლიმენტი
Геворк,Gevork,გევორკ
Аркадий,Arkadii,არკადი
Валентин,Valentin,ვალენტინ
Адам,Adam,ადამ
Аквсентий,Akvsentii,აქვსენტი
Тигран,Tigran,ტიგრან
Кузьма,Kuzma,კუზმა
Хасан,Hasan,ჰასან
Ибрагим,Ibragim,იბრაგიმ
Никита,Nikita,ნიკიტა
Саша,Sasha,საშა
Митрофан,Mitrofan,მიტროფანე
Дурсун,Dursun,დურსუნ
Ерванд,Ervand,ერვანდ
А.,A.,ალა
Мих.,Mih.,მიშა
Пируз,Piruz,ფირუზ
Кола,Kola,კოლა
Андраник,Andranik,ანდრანიკ
Аслан,Aslan,ასლან
Бения,Beniya,ბენია
Габо,Gabo,გაბო
Христофор,Hristofor,ხრისტოფორ
Мито,Mito,მიტო
Геронти,Geronti,გერონტი
Геронтий,Gerontii,გერონტი
Како,Kako,კაკო
Сократ,Sokrat,სოკრატ
Алекси,Aleksi,ალექსი
Гигла,Gigla,გიგლა
Тихон,Tihon,ტიხონ
Каленик,Kalenik,კალენიკე
Михайл,Mihail,მიხაილ
Кондрат,Kondrat,კონდრატ
Бичико,Bichiko,ბიჭიკო
Мкртич,Mkrtich,მკრტიჩ
Погос,Pogos,პოგოს
Амбарцум,Ambarcum,ამბარცუმ
Емельян,Emelyan,ემელიან
Данил,Danil,დანილ
Амброси,Ambrosi,ამბროსი
Юсуп,YUsup,უსუპ
Валерян,Valeryan,ვალერიან
Вахтанги,Vahtangi,ვახტანგი
Бежан,Bezhan,ბეჟან
Алекс.,Aleks.,ალექსი
