district,top1,top1Perc,top2,top2Perc,top3,top3Perc,top4,top4Perc,top5,top5Perc,totalCount,სხვა,ძე,ია,ვა,ვი,ან,უა,კო,კი,ტი,დი,ზი,ოვ,ნა,ხი,სი,ბა,ევ,ჩი,დე,ის,ინ,ლო,გი,ვე,ერ,უკ,ბი,რე,იჩ,იკ,დუ,ოი,ლა,გა,კა,ნც,თი,და,აკ,არ,კე,ნე,იხ,სა,რა,ეც,ანი,ური,ელი,ღლი,ალი,უში,შვილი
ქუთაისი,ძე,59.3,შვილი,17.5,ანი,7.4,ია,6.5,ვა,4.1,163083,866,96700,10679,6682,1050,121,1505,320,340,205,161,24,181,201,288,212,200,57,46,15,15,62,25,4,320,27,34,5,17,21,10,9,5,4,20,12,4,0,14,8,14,24,0,8,0,4,7,12129,270,1300,16,300,49,28493
გლდანი,შვილი,33.7,ძე,29,ანი,8.1,ია,7.6,ვა,5.5,155319,3147,45061,11740,8513,8203,427,1839,538,567,213,273,124,78,355,184,130,40,51,114,57,74,57,22,22,5,41,22,10,11,19,17,20,45,22,14,13,3,12,9,10,8,8,1,13,3,20,4,12650,5163,2682,23,185,73,52384
სამგორი,შვილი,32.6,ძე,22.9,ანი,13.5,ვი,8.3,ვა,6.5,154643,2627,35361,9704,10006,12844,854,1578,912,468,195,438,78,187,577,100,147,39,70,134,46,268,78,35,21,6,40,29,22,28,48,48,39,59,12,13,29,19,3,21,21,14,5,2,21,2,17,19,20919,3764,2058,26,124,32,50436
ნაძალადევი,შვილი,36.2,ძე,32.5,ია,6.6,ანი,5.7,ვა,4.6,140429,2483,45686,9233,6518,5624,519,1422,502,516,254,350,77,241,347,160,117,32,91,90,30,50,64,6,35,11,25,25,11,7,15,22,18,30,17,22,20,17,12,20,15,25,9,1,16,1,14,8,8018,3904,2644,27,183,59,50786
ბათუმი,ძე,66.1,შვილი,8,ანი,6.3,ია,5.3,ვა,4.6,133316,2513,88130,7055,6198,1937,292,1041,1031,625,633,750,118,118,512,128,141,791,20,77,67,23,44,138,64,7,23,27,5,71,11,16,4,25,39,13,29,5,1,24,9,10,5,10,3,5,13,6,8376,198,806,181,64,281,10603
საბურთალო,ძე,35.1,შვილი,32,ია,9.2,ვა,5.7,ანი,5.1,128581,2130,45074,11780,7382,3981,210,1706,348,451,404,219,113,117,221,249,87,66,34,70,59,60,41,23,17,7,42,17,21,25,25,17,12,10,25,7,6,13,12,8,13,7,24,4,11,2,12,5,6540,3072,2223,79,209,88,41203
ზუგდიდი,ია,58.1,ვა,20.1,უა,8.8,ძე,5.7,შვილი,2.9,128577,777,7334,74760,25887,225,31,11285,143,64,38,26,6,52,118,82,20,73,14,15,4,1,13,3,0,0,12,25,0,3,5,3,2,0,1,2,1,4,0,1,5,4,0,0,6,2,3,6,3508,87,143,66,16,5,3696
ისანი,შვილი,31.1,ძე,21.6,ანი,18.6,ვი,11,ია,5.4,117337,1907,25346,6321,4324,12958,1053,1010,573,399,150,142,58,122,260,116,84,19,29,73,17,63,59,12,17,7,46,26,31,2,37,28,27,42,14,9,26,19,9,7,17,7,14,5,18,2,6,17,21770,1874,1474,20,77,49,36545
გორი,შვილი,59.3,ძე,25.1,ური,3.9,ელი,3,ვი,2.5,112205,1286,28190,579,643,2861,291,95,164,372,22,274,200,67,83,98,30,5,37,469,2,9,22,2,231,0,6,8,4,0,5,14,3,3,1,3,11,8,112,3,2,4,0,0,5,1,0,5,1495,4424,3368,172,27,6,66483
რუსთავი,შვილი,38.3,ძე,32.4,ვა,6.2,ვი,5.2,ია,4.4,110402,1630,35803,4885,6829,5741,357,771,460,281,136,373,59,295,283,205,67,13,162,42,23,63,80,21,21,8,33,25,23,34,36,32,17,12,4,26,21,18,5,3,11,8,2,3,9,105,14,5,4384,2664,1766,27,153,62,42292
ვაკე,ძე,35.2,შვილი,29.3,ია,11.9,ვა,6.4,ანი,6.1,99162,1451,34875,11773,6327,1773,130,1689,239,443,330,163,45,36,169,188,85,63,13,69,57,28,22,21,12,0,31,9,26,8,8,9,9,9,14,7,5,13,1,14,10,5,16,3,8,0,3,2,6035,1751,1890,20,167,66,29022
მარნეული,ვი,43.8,ვა,39.9,ანი,7.7,ძე,4.2,შვილი,2,98777,691,4168,151,39372,43299,103,34,28,17,3,67,67,43,35,4,35,1,9,16,299,27,9,26,1,0,8,15,0,0,3,3,14,1,0,0,0,0,0,5,3,7,0,0,2,1,1,1,7636,144,62,232,134,0,2000
გარდაბანი,ვა,28.3,ვი,26.1,შვილი,22.8,ძე,10.6,ანი,4.6,74189,907,7870,455,21021,19375,56,99,129,157,20,48,237,312,55,22,4,8,138,19,69,25,8,0,1,2,8,9,28,1,1,9,5,0,1,13,0,5,1,0,0,10,0,0,2,1,2,1,3443,1927,567,155,14,4,16945
დიდუბე,ძე,35.4,შვილი,29,ია,10.2,ანი,6.5,ვა,6.3,72003,1254,25489,7329,4559,1817,286,1140,250,292,199,150,30,84,194,146,70,26,17,68,27,22,29,15,17,3,35,21,18,3,37,7,3,13,10,6,11,12,4,7,6,4,9,1,12,1,6,16,4661,1229,1328,3,81,49,20897
ქობულეთი,ძე,75.4,შვილი,9.7,ია,2.3,ანი,2.2,სხვა,2.1,69244,1474,52224,1620,1454,473,52,197,199,133,166,987,460,27,79,23,51,22,5,12,21,12,4,209,15,0,1,5,1,41,1,5,9,3,3,2,7,0,2,3,1,3,4,142,0,0,10,0,1512,92,721,13,7,23,6714
ოზურგეთი,ძე,61.6,შვილი,15.2,ია,5.4,ვა,2.7,ანი,2.6,64397,815,39698,3498,1764,431,1530,958,111,652,1360,3,9,178,89,19,157,9,47,1,169,0,30,3,5,10,8,25,3,7,2,13,1,19,43,1,7,3,1,2,10,6,0,1,2,1,0,5,1664,177,560,2,30,487,9771
ჩუღურეთი,ძე,30.6,შვილი,30.2,ანი,9.8,ია,7.7,ვი,6.9,58419,911,17848,4526,3198,4046,299,733,181,266,143,114,31,41,129,99,49,21,26,59,21,32,22,2,30,3,35,8,15,7,12,10,20,25,10,0,7,19,1,11,9,11,3,1,3,0,8,11,5709,889,971,11,94,28,17661
