index,lastNameEn,lastNameGe,count
1,beridze,ბერიძე,21033
2,kapanadze,კაპანაძე,14449
3,gelashvili,გელაშვილი,13912
4,maisuradze,მაისურაძე,12586
5,giorgadze,გიორგაძე,10827
6,mamedovi,მამედოვი,10250
7,tsiklauri,წიკლაური,9977
8,lomidze,ლომიძე,9977
9,mamedova,მამედოვა,9184
10,bolqvadze,ბოლქვაძე,9152
11,kvaratskhelia,კვარაცხელია,8711
12,khutsishvili,ხუციშვილი,8644
13,nozadze,ნოზაძე,8640
14,shengelia,შენგელია,8299
15,abuladze,აბულაძე,8109
16,miqeladze,მიქელაძე,7742
17,tabatadze,ტაბატაძე,7288
18,mtchedlishvili,მჭედლიშვილი,7252
19,gogoladze,გოგოლაძე,7037
20,abashidze,აბაშიძე,6984
21,diasamidze,დიასამიძე,6799
22,makharadze,მახარაძე,6754
23,alievi,ალიევი,6693
24,tsertsvadze,ცერცვაძე,6527
25,dolidze,დოლიძე,6510
26,matcharashvili,მაჭარაშვილი,6387
27,alieva,ალიევა,6310
28,putkaradze,ფუტკარაძე,5927
29,qatamadze,ქათამაძე,5892
30,qavtaradze,ქავთარაძე,5873
31,dumbadze,დუმბაძე,5808
32,metreveli,მეტრეველი,5774
33,todua,თოდუა,5550
34,japaridze,ჯაფარიძე,5532
35,javakhishvili,ჯავახიშვილი,5516
36,barbaqadze,ბარბაქაძე,5389
37,surmanidze,სურმანიძე,5376
38,tsetskhladze,ცეცხლაძე,5320
39,davitadze,დავითაძე,5290
40,samkharadze,სამხარაძე,5275
41,chkhaidze,ჩხაიძე,5272
42,kobakhidze,კობახიძე,5235
43,tchelidze,ჭელიძე,5204
44,tsintsadze,ცინცაძე,5002
45,shubitidze,შუბითიძე,4910
46,modebadze,მოდებაძე,4867
47,meladze,მელაძე,4819
48,chubinidze,ჩუბინიძე,4732
49,sikharulidze,სიხარულიძე,4695
50,turmanidze,თურმანიძე,4667
51,pipia,ფიფია,4622
52,jintcharadze,ჯინჭარაძე,4599
53,shonia,შონია,4574
54,jiqia,ჯიქია,4542
55,botchorishvili,ბოჭორიშვილი,4538
56,khachidze,ხაჩიძე,4427
57,gabunia,გაბუნია,4409
58,kurtanidze,კურტანიძე,4398
59,razmadze,რაზმაძე,4339
60,tchanturia,ჭანტურია,4303
61,mumladze,მუმლაძე,4229
62,dvalishvili,დვალიშვილი,4217
63,zoidze,ზოიძე,4125
64,abramishvili,აბრამიშვილი,4096
65,svanidze,სვანიძე,4088
66,sitchinava,სიჭინავა,4032
67,gorgadze,გორგაძე,4032
68,kiknadze,კიკნაძე,4019
69,khurtsidze,ხურციძე,4007
70,shainidze,შაინიძე,4000
71,robaqidze,რობაქიძე,3991
72,nadiradze,ნადირაძე,3989
73,kalandadze,კალანდაძე,3954
74,aptsiauri,აფციაური,3954
75,khvedelidze,ხვედელიძე,3880
76,kakhidze,კახიძე,3877
77,gurgenidze,გურგენიძე,3855
78,natchkhebia,ნაჭყებია,3816
79,danelia,დანელია,3811
80,bairamovi,ბაირამოვი,3789
81,shavadze,შავაძე,3740
82,mtchedlidze,მჭედლიძე,3721
83,iremadze,ირემაძე,3701
84,gogitidze,გოგიტიძე,3650
85,janelidze,ჯანელიძე,3648
86,kiladze,კილაძე,3632
87,labadze,ლაბაძე,3581
88,gigauri,გიგაური,3580
89,chikhladze,ჩიხლაძე,3570
90,miqadze,მიქაძე,3551
91,mamulashvili,მამულაშვილი,3536
92,tsulaia,წულაია,3437
93,qardava,ქარდავა,3415
94,guseinovi,გუსეინოვი,3395
95,beradze,ბერაძე,3383
96,khurashvili,ყურაშვილი,3360
97,bregvadze,ბრეგვაძე,3358
98,akhvlediani,ახვლედიანი,3354
99,gogokhia,გოგოხია,3322
100,gaprindashvili,გაფრინდაშვილი,3318
101,kupatadze,კუპატაძე,3306
102,ismailovi,ისმაილოვი,3265
103,qobalia,ქობალია,3261
104,abesadze,აბესაძე,3247
105,gachechiladze,გაჩეჩილაძე,3216
106,guseinova,გუსეინოვა,3215
107,liparteliani,ლიპარტელიანი,3213
108,mzhavanadze,მჟავანაძე,3211
109,tchumburidze,ჭუმბურიძე,3194
110,tsereteli,წერეთელი,3178
111,beruashvili,ბერუაშვილი,3149
112,rekhviashvili,რეხვიაშვილი,3128
113,meskhi,მესხი,3122
114,tevzadze,თევზაძე,3103
115,bairamova,ბაირამოვა,3100
116,chiqovani,ჩიქოვანი,3092
117,megrelishvili,მეგრელიშვილი,3078
118,ismailova,ისმაილოვა,3065
119,rukhadze,რუხაძე,3046
120,baramidze,ბარამიძე,3038
121,gasanovi,გასანოვი,3024
122,gagua,გაგუა,3016
123,miqava,მიქავა,2990
124,grigalashvili,გრიგალაშვილი,2986
125,peradze,ფერაძე,2973
126,mghebrishvili,მღებრიშვილი,2964
127,akhalaia,ახალაია,2942
128,mgeladze,მგელაძე,2933
129,maghradze,მაღრაძე,2915
130,siradze,სირაძე,2906
131,akhmedovi,ახმედოვი,2904
132,berishvili,ბერიშვილი,2897
133,gasanova,გასანოვა,2892
134,lobzhanidze,ლობჟანიძე,2880
135,chaduneli,ჩადუნელი,2845
136,makharashvili,მახარაშვილი,2844
137,bitsadze,ბიწაძე,2834
138,vashakidze,ვაშაკიძე,2820
